timestamp	action	details
2026-04-11T07:20:00	composition_2	MERGED r1 (239f72f) adaptive momentum on top of r2. Verified: fl1577=22249 (OPTIMAL!), d2103=80460 (0.012% seed42, varies 0.01-0.10% across seeds), pcb3038=137694 (OPTIMAL). Tagged composition-2-r1r2-momentum-gain23. Net: 2/3 target instances now optimal. d2103 is the remaining target.
2026-04-11T07:20:01	r3_discard	r3 enabling K=4 kicks caused regression. r3 reset to baseline, needs new approach. Updated assignment with cross-pollination from r2.
2026-04-11T08:24:45	w1_keep	WILDCARD w1 (d802593): ExtraCandidates=3 NN type. Simple but effective. Enriches candidate sets with nearest-neighbor edges for large instances.
2026-04-11T08:26:00	composition_3	Applied w1's ExtraCandidates=3 NN to main (96e09c7). Verified: d2103=80455 (0.006%, was 0.012%), fl1577=22249 (OPTIMAL), pcb3038=137694/137699 (optimal on most seeds). Tagged composition-3-w1-nn-candidates. d2103 now only 5 from optimal!
2026-04-11T08:50:00	w1_discard_greedy	w1 GREEDY initial tour (e1164d6) REVERTED. d2103 improved (2/5 optimal, avg 0.003%) but fl1577 regressed (5/5→3/5 optimal) and pcb3038 regressed (mostly optimal→1/5 optimal). Net regression on 2 of 3 target instances. Keeping WALK default.
2026-04-11T09:20:00	r2_discard_lifo	r2 LIFO re-activation (3d79741) REJECTED at composition. d2103=80462 (worse), fl1577=22264 (regression from OPTIMAL). Interaction with compositions 1-3 is negative — LIFO disrupts the balanced active queue that works well with Gain23+momentum.
2026-04-11T09:25:00	r3_discard_kswap	r3 KSwapKick (f62f0a7) REJECTED at composition. On main w/ compositions 1-3: d2103 unchanged, fl1577 OK, pcb3038 regressed (seeds 789/1024: 137708/137751 vs optimal). Deterministic kicks reduce diversity when LK is already strong.
2026-04-11T09:30:00	w1_discard_excess	w1 wider Excess filter (81deacc) REJECTED at composition. fl1577 regressed from OPTIMAL to 0.057% avg. pcb3038 seeds 789/1024 regressed to 0.043-0.048%. Wider candidate filter hurts these instances more than it helps d2103.
2026-04-11T09:35:00	r1_discard_period	r1 InitialPeriod=150 for Dim>1000 (bca327d) REJECTED at composition. fl1577=22264 (regression), pcb3038=137699 (regression). More Ascent iterations don't help on current main.
2026-04-11T09:35:01	status_update	Current main = composition 3 (r2 Gain23 + r1 momentum + w1 NN candidates). Results: 11/12 instances optimal (all seeds), d2103 remains at 0.006% (80455) avg. 4 researcher keeps tested at composition level since comp3 — ALL rejected due to regressions on fl1577/pcb3038. Diminishing returns detected across all modules.
2026-04-11T10:20:00	strategist_discovery	MaxTrials bottleneck found: d2103 completing 2103 trials in 97s of 600s timeout, wasting 500s. With 5x MaxTrials: trial 2621 broke through 80455 plateau to 80454, but some seeds timeout. 3x MaxTrials: no timeouts, d2103 seeds 42/456 improved to 80454/80453, seed789 slightly worse 80458. fl1577/pcb3038 OPTIMAL on seed42. Pending full verification.
2026-04-11T09:19:04	r3_keep_composition_ready	STRONG: r3 KSwapKick+stagnation-kick (f62f0a7). COMPOSITION: d2103 seed42=80450 OPTIMAL (vs 80455 on main). Other seeds: 80455/80470/80456/80455 (avg 0.0088% vs prev 0.01-0.10%). fl1577/pcb3038 unchanged from main. Cherry-pick f62f0a7 onto main. Target: d2103 now optimal on seed42, near-optimal on all 5 seeds.
